artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
Blockhead,"Cheer up, You're Not Dead Yet",44.0,0.00621,0.711,285987.0,0.621,0.0297,G,0.159,-7.4289999999999985,Major,0.0382,142.065,0.607,Jazz
FloFilz,Corners,34.0,0.34700000000000003,0.7290000000000001,103703.0,0.515,0.00692,C,0.127,-10.147,Major,0.184,79.969,0.287,Jazz
Bonobo,We Could Forever,51.0,0.0181,0.669,,0.885,0.88,G,0.265,-7.08,Minor,0.0378,,0.636,Jazz
Nils Landgren,A Child Is Born,39.0,0.9179999999999999,0.484,228733.0,0.0693,6.92e-05,F,0.139,-15.542,Major,0.0346,82.70700000000001,0.20600000000000002,Jazz
Masayoshi Takanaka,Samba Pati,36.0,0.0345,0.473,342867.0,0.823,0.446,G,0.306,-6.625,Major,0.063,104.694,0.3829999999999999,Jazz
Saint Privat,Poisson rouge,53.0,0.501,0.9209999999999999,151733.0,0.266,0.134,A#,0.109,-12.749,Minor,0.213,123.04299999999999,0.7609999999999999,Jazz
Kiefer,Most Beautiful Grl,43.0,0.501,0.615,200488.0,0.529,0.879,G,0.124,-7.652,Major,0.0418,,0.1689999999999999,Jazz
Diana Krall,The Look Of Love,63.0,0.6990000000000001,0.58,282000.0,0.299,0.00386,A#,0.0805,-13.03,Major,0.0269,93.037,0.364,Jazz
"Paul Jackson, Jr.","Easy, Like Sunday Morning",32.0,0.765,0.696,,0.617,0.6509999999999999,A,0.1119999999999999,-7.973,Minor,0.0297,131.924,0.47,Jazz
,Human Nature,39.0,0.495,0.6559999999999999,269800.0,0.32,0.0614,B,0.0765,-15.261,Minor,0.0348,91.368,0.573,Jazz
Euge Groove,In Love With You (feat. Chanel Haynes),38.0,0.424,0.653,,0.515,9.82e-05,G#,0.0652,-6.6739999999999995,Major,0.0374,,0.29600000000000004,Jazz
